templateID,candidateID,Financial profile,Travel profile,Graphlet profile,Temporal profile,templateEdgeOrder,candidateEdgeOrder
0,461119,0.8014900263470912,,0.8809524,,3,6
27,457170,0.45823194371070497,,0.9285714300000001,,14,5
34,462278,0.4662918787607653,,0.85714288,1.0,4,11
37,462691,0.7255890698767721,,0.85714288,0.771817507338729,7,4
39,457002,0.8335934547906243,,0.83333335,1.0,2,12
40,457203,0.7840176252379629,0.1111111111111111,0.80952382,0.8892468739392184,13,2
41,457405,0.9532688357608705,,0.7619047800000001,,8,9
43,470415,0.9572006272641533,,0.904761915,,5,13
45,463267,0.3234895966100768,,0.904761915,0.8948079715902029,6,10
47,463273,0.27649076955270147,,0.8809523800000001,,10,3
56,471475,0.42833670353442,,0.85714288,,9,0
57,477269,0.25899527837579117,,0.690476195,,12,7
58,480400,0.23048674548189696,,0.9285714300000001,,1,15
63,476844,0.45581741620785754,,0.7619047800000001,,0,14
65,457395,0.21148299829069928,,0.8809524,,11,8
66,456761,,,0.5,,15,16
67,457058,,,0.5,,16,1
